Time,Flowrate,Pressure
08:50:05,-10.04367,40.6119
08:50:10,-10.04367,40.6114
08:50:15,-10.04367,40.6113
08:50:20,-10.04367,40.6115
08:50:30,-10.04367,40.6107
08:50:35,-10.04367,40.6113
08:50:40,-10.04367,40.6111
08:50:45,-10.04367,40.6116
08:50:50,-10.04367,40.611
08:50:55,-10.04367,40.6111
08:51:00,-10.04367,40.6121
08:51:05,-10.04367,40.6111
08:51:10,-10.04367,40.6114
08:51:15,-10.04367,40.6107
08:51:20,-10.04367,40.6118
08:51:25,-10.04367,40.6107
08:51:30,-10.04367,40.6114
08:51:35,-10.04367,40.6113
08:51:45,-10.04367,40.6118
08:51:50,-10.04367,40.6113
08:52:00,-10.04367,40.611
08:52:05,-10.04367,40.6114
08:52:10,-10.04367,40.6112
08:52:20,-10.04367,40.6116
08:52:30,-10.04367,40.6111
08:52:40,-10.04367,40.6115
08:52:45,-10.04367,40.6108
08:52:50,-10.04367,40.6109
08:52:55,-10.04367,40.6114
08:53:00,-10.04367,40.6116
08:53:05,-10.04367,40.6118
08:53:10,-10.04367,40.6117
08:53:15,-10.04367,40.6113
08:53:20,-10.04367,40.6118
08:53:25,-10.04367,40.6114
08:53:30,-10.04367,40.6108
08:53:35,-10.04367,40.6119
08:53:40,-10.04367,40.6114
08:53:45,-10.04367,40.6113
08:53:50,-10.04367,40.6119
08:53:55,-10.04367,40.612
08:54:00,-10.04367,40.611
08:54:05,-10.04367,40.6111
08:54:10,-10.04367,40.6113
08:54:15,-10.04367,40.6111
08:54:25,-10.04367,40.6118
08:54:30,-10.04367,40.6113
08:54:35,-10.04367,40.6116
08:54:40,-10.04367,40.6121
08:54:45,-10.0429,40.6118
08:54:55,-10.0429,40.6117
08:55:00,-10.0429,40.6111
08:55:05,-10.0429,40.6117
08:55:10,-10.0429,40.6112
08:55:15,-10.0429,40.6113
08:55:25,-10.0429,40.6117
08:55:35,-10.0429,40.6115
08:55:40,-10.0429,40.6108
08:55:45,-10.0429,40.6112
08:55:50,-10.0429,40.6109
08:56:00,-10.0429,40.6111
08:56:05,-10.04367,40.6118
08:56:10,-10.04367,40.6114
08:56:15,-10.04367,40.6113
08:56:20,-10.04367,40.6111
08:56:25,-10.04367,40.6116
08:56:30,-10.04367,40.6114
08:56:35,-10.04367,40.6116
08:56:40,-10.04367,40.6114
08:56:45,-10.04367,40.6118
08:56:50,-10.04367,40.6114
08:56:55,-10.04367,40.612
08:57:00,-10.04367,40.6117
08:57:05,-10.04367,40.6121
08:57:10,-10.04367,40.6111
08:57:15,-10.04367,40.6109
08:57:20,-10.04367,40.6107
08:57:25,-10.04367,40.6113
08:57:30,-10.04367,40.6116
08:57:45,-10.04367,40.6114
08:57:50,-10.04367,40.6112
08:57:55,-10.04367,40.611
08:58:00,-10.04367,40.6114
08:58:05,-10.04367,40.6118
08:58:10,-10.04367,40.6111
08:58:15,-10.04367,40.6106
08:58:20,-10.04367,40.6111
08:58:30,-10.04367,40.6114
08:58:40,-10.04367,40.6118
08:58:45,-10.04367,40.6115
08:58:55,-10.04367,40.6116
08:59:00,-10.04367,40.6111
