Time,EC,Experiment
00:06:22,187.2,High Seismicity
00:06:24,187.2,High Seismicity
00:06:26,187.2,High Seismicity
00:06:28,187.2,High Seismicity
00:06:30,187.2,High Seismicity
00:06:32,187.2,High Seismicity
00:06:34,187.2,High Seismicity
00:06:36,187.2,High Seismicity
00:06:38,187.2,High Seismicity
00:06:40,187.2,High Seismicity
00:06:42,187.2,High Seismicity
00:06:44,187.2,High Seismicity
00:06:46,187.2,High Seismicity
00:06:48,187.2,High Seismicity
00:06:50,187.2,High Seismicity
00:06:52,187.3,High Seismicity
00:06:54,187.3,High Seismicity
00:06:56,187.3,High Seismicity
00:06:58,187.3,High Seismicity
00:07:00,187.3,High Seismicity
00:07:02,187.2,High Seismicity
00:07:04,187.2,High Seismicity
00:07:06,187.2,High Seismicity
00:07:08,187.3,High Seismicity
00:07:10,187.3,High Seismicity
00:07:12,187.3,High Seismicity
00:07:14,187.3,High Seismicity
00:07:16,187.3,High Seismicity
00:07:18,187.3,High Seismicity
00:07:20,187.3,High Seismicity
00:07:22,187.3,High Seismicity
00:07:24,187.3,High Seismicity
00:07:26,187.3,High Seismicity
00:07:28,187.3,High Seismicity
00:07:30,187.3,High Seismicity
00:07:32,187.3,High Seismicity
00:07:34,187.3,High Seismicity
00:07:36,187.3,High Seismicity
00:07:38,187.4,High Seismicity
00:07:40,187.4,High Seismicity
00:07:42,187.4,High Seismicity
00:07:44,187.4,High Seismicity
00:07:46,187.4,High Seismicity
00:07:48,187.4,High Seismicity
00:07:50,187.4,High Seismicity
00:07:52,187.4,High Seismicity
00:07:54,187.4,High Seismicity
00:07:56,187.4,High Seismicity
00:07:58,187.4,High Seismicity
00:08:00,187.4,High Seismicity
00:08:02,187.4,High Seismicity
00:08:04,187.4,High Seismicity
00:08:06,187.4,High Seismicity
00:08:08,187.4,High Seismicity
00:08:10,187.4,High Seismicity
00:08:12,187.4,High Seismicity
00:08:14,187.4,High Seismicity
00:08:16,187.4,High Seismicity
00:08:18,187.4,High Seismicity
00:08:20,187.4,High Seismicity
00:08:22,187.4,High Seismicity
00:08:24,187.4,High Seismicity
00:08:26,187.4,High Seismicity
00:08:28,187.4,High Seismicity
00:08:30,187.5,High Seismicity
00:08:32,187.5,High Seismicity
00:08:34,187.5,High Seismicity
00:08:36,187.5,High Seismicity
00:08:38,187.5,High Seismicity
00:08:40,187.5,High Seismicity
00:08:42,187.5,High Seismicity
00:08:44,187.5,High Seismicity
00:08:46,187.4,High Seismicity
00:08:48,187.5,High Seismicity
00:08:50,187.5,High Seismicity
00:08:52,187.5,High Seismicity
00:08:54,187.5,High Seismicity
00:08:56,187.5,High Seismicity
00:08:58,187.5,High Seismicity
00:09:00,187.5,High Seismicity
00:09:02,187.5,High Seismicity
00:09:04,187.5,High Seismicity
00:09:06,187.5,High Seismicity
00:09:08,187.5,High Seismicity
00:09:10,187.5,High Seismicity
00:09:12,187.6,High Seismicity
00:09:14,187.5,High Seismicity
00:09:16,187.5,High Seismicity
00:09:18,187.5,High Seismicity
00:09:20,187.6,High Seismicity
00:09:22,187.5,High Seismicity
00:09:24,187.6,High Seismicity
00:09:26,187.6,High Seismicity
00:09:28,187.5,High Seismicity
00:09:30,187.6,High Seismicity
00:09:32,187.6,High Seismicity
00:09:34,187.6,High Seismicity
00:09:36,187.6,High Seismicity
00:09:38,187.5,High Seismicity
00:09:40,187.6,High Seismicity
00:09:42,187.6,High Seismicity
00:09:44,187.6,High Seismicity
00:09:46,187.6,High Seismicity
00:09:48,187.6,High Seismicity
00:09:50,187.6,High Seismicity
00:09:52,187.6,High Seismicity
00:09:54,187.6,High Seismicity
00:09:56,187.6,High Seismicity
00:09:58,187.6,High Seismicity
00:10:00,187.6,High Seismicity
00:10:02,187.6,High Seismicity
00:10:04,187.6,High Seismicity
00:10:06,187.6,High Seismicity
00:10:08,187.6,High Seismicity
00:10:10,187.6,High Seismicity
00:10:12,187.6,High Seismicity
00:10:14,187.6,High Seismicity
00:10:16,187.6,High Seismicity
00:10:18,187.7,High Seismicity
00:10:20,187.7,High Seismicity
00:10:22,187.6,High Seismicity
00:10:24,187.7,High Seismicity
00:10:26,187.7,High Seismicity
00:10:28,187.7,High Seismicity
00:10:30,187.7,High Seismicity
00:10:32,187.7,High Seismicity
00:10:34,187.7,High Seismicity
00:10:36,187.7,High Seismicity
00:10:38,187.7,High Seismicity
00:10:40,187.6,High Seismicity
00:10:42,187.7,High Seismicity
00:10:44,187.7,High Seismicity
00:10:46,187.7,High Seismicity
00:10:48,187.7,High Seismicity
00:10:50,187.7,High Seismicity
00:10:52,187.7,High Seismicity
00:10:54,187.7,High Seismicity
00:10:56,187.7,High Seismicity
00:10:58,187.7,High Seismicity
00:11:00,187.7,High Seismicity
00:11:02,187.7,High Seismicity
00:11:04,187.7,High Seismicity
00:11:06,187.7,High Seismicity
00:11:08,187.7,High Seismicity
00:11:10,187.7,High Seismicity
00:11:12,187.8,High Seismicity
00:11:14,187.8,High Seismicity
00:11:16,187.7,High Seismicity
00:11:18,187.7,High Seismicity
00:11:20,187.7,High Seismicity
00:11:22,187.8,High Seismicity
00:11:24,187.8,High Seismicity
00:11:26,187.8,High Seismicity
00:11:28,187.8,High Seismicity
00:11:30,187.7,High Seismicity
00:11:32,187.8,High Seismicity
00:11:34,187.8,High Seismicity
00:11:36,187.8,High Seismicity
00:11:38,187.8,High Seismicity
00:11:40,187.8,High Seismicity
00:11:42,187.8,High Seismicity
00:11:44,187.8,High Seismicity
00:11:46,187.8,High Seismicity
00:11:48,187.8,High Seismicity
