Time,ORP,Experiment
00:06:05,199.7,Low Seismicity
00:06:07,197.3,Low Seismicity
00:06:09,197.7,Low Seismicity
00:06:11,196.1,Low Seismicity
00:06:13,196.6,Low Seismicity
00:06:15,197.7,Low Seismicity
00:06:17,198.5,Low Seismicity
00:06:19,196.2,Low Seismicity
00:06:21,196.3,Low Seismicity
00:06:23,193.9,Low Seismicity
00:06:25,195.9,Low Seismicity
00:06:27,196.5,Low Seismicity
00:06:29,196.4,Low Seismicity
00:06:31,194,Low Seismicity
00:06:33,191.2,Low Seismicity
00:06:35,192.4,Low Seismicity
00:06:37,193.3,Low Seismicity
00:06:39,192.8,Low Seismicity
00:06:41,191.8,Low Seismicity
00:06:43,191,Low Seismicity
00:06:45,190.4,Low Seismicity
00:06:47,190.3,Low Seismicity
00:06:49,189.8,Low Seismicity
00:06:51,190,Low Seismicity
00:06:53,190.8,Low Seismicity
00:06:55,190.3,Low Seismicity
00:06:57,190,Low Seismicity
00:06:59,189.9,Low Seismicity
00:07:01,191.2,Low Seismicity
00:07:03,191.2,Low Seismicity
00:07:05,190.8,Low Seismicity
00:07:07,190.2,Low Seismicity
00:07:09,188.4,Low Seismicity
00:07:11,186.8,Low Seismicity
00:07:13,188.2,Low Seismicity
00:07:15,188.7,Low Seismicity
00:07:17,191.6,Low Seismicity
00:07:19,191.2,Low Seismicity
00:07:21,189.2,Low Seismicity
00:07:23,188,Low Seismicity
00:07:25,187.6,Low Seismicity
00:07:27,189.5,Low Seismicity
00:07:29,189.7,Low Seismicity
00:07:31,193.3,Low Seismicity
00:07:33,193.1,Low Seismicity
00:07:35,195.1,Low Seismicity
00:07:37,196.8,Low Seismicity
00:07:39,195.4,Low Seismicity
00:07:41,195.5,Low Seismicity
00:07:43,195.2,Low Seismicity
00:07:45,193.5,Low Seismicity
00:07:47,191.8,Low Seismicity
00:07:49,192.2,Low Seismicity
00:07:51,192.8,Low Seismicity
00:07:53,192.5,Low Seismicity
00:07:55,192.4,Low Seismicity
00:07:57,193.4,Low Seismicity
00:07:59,194.2,Low Seismicity
00:08:01,195.1,Low Seismicity
00:08:03,195.7,Low Seismicity
00:08:05,196.2,Low Seismicity
00:08:07,196.4,Low Seismicity
00:08:09,196.4,Low Seismicity
00:08:11,196.4,Low Seismicity
