x,y,z,id,isotime,latitude,longitude,depth,event_type,evaluation_mode,method_id,author,rms,num_phase,magnitude,mag_type
-96.56256459,-49.49419833,-88.071592,45,2023-08-10T09:30:02.912950Z,46.51052962,8.476110126,-1.397308408,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000107475,22,-3.75128815,MwA
-91.19396098,-44.39664506,-103.749099,47,2023-08-10T09:30:49.645985Z,46.51057483,8.476180944,-1.381630901,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000210399,9,-4.439496853,MwA
-95.96916193,-50.17456439,-86.344467,48,2023-08-10T09:31:08.209054Z,46.51052343,8.47611774,-1.399035533,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000167696,13,-4.431778126,MwA
-93.92646867,-44.83989322,-93.846851,51,2023-08-10T09:31:55.055897Z,46.51057117,8.47614527,-1.391533149,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,5.04E-05,9,-4.563756769,MwA
-100.4303757,-49.39513174,-93.390917,52,2023-08-10T09:31:59.985921Z,46.51053097,8.476059752,-1.391989083,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.25E-05,12,-4.310150414,MwA
-96.54151944,-48.3498922,-89.723233,53,2023-08-10T09:32:02.479686Z,46.51053991,8.476110597,-1.395656767,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000117802,13,-4.390260246,MwA
-107.2164927,-55.1525053,-95.472049,54,2023-08-10T09:32:06.808587Z,46.51047999,8.47597035,-1.389907951,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000103283,8,-4.627042239,MwA
-88.90954684,-45.36735601,-88.249781,57,2023-08-10T09:32:17.484528Z,46.51056583,8.476210541,-1.397130219,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.95E-05,11,-4.424035756,MwA
-96.41149225,-52.23942436,-84.104576,62,2023-08-10T09:35:05.889375Z,46.51050491,8.476111622,-1.401275424,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000136262,14,-4.256160537,MwA
-101.4729764,-53.84713882,-88.203082,63,2023-08-10T09:35:13.617052Z,46.51049105,8.476045403,-1.397176918,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,7.85E-05,10,-4.504957391,MwA
-26.24309884,-37.77943709,-117.234033,65,2023-08-10T09:35:37.240760Z,46.51062662,8.477028268,-1.368145967,induced or triggered event,manual,smi:org.gfz-potsdam.de/geofon/StdLoc_OctTree+LeastSquares,mesimeri,0.00068055,9,-3.409948171,MwA
-103.7081071,-54.39245895,-91.912661,66,2023-08-10T09:35:45.004219Z,46.51048641,8.476016189,-1.393467339,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000140105,17,-4.06988836,MwA
-102.8872413,-49.43528732,-98.295325,70,2023-08-10T09:36:38.082370Z,46.5105309,8.476027736,-1.387084675,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.51E-05,16,-4.14486605,MwA
-95.65072617,-48.66723574,-87.7709,72,2023-08-10T09:37:38.558734Z,46.51053695,8.476122148,-1.3976091,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,7.08E-05,10,-4.409040439,MwA
-68.18770472,-9.570244122,-107.063182,77,2023-08-10T09:38:10.496443Z,46.51088535,8.476486672,-1.378316818,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000246465,8,-3.759551651,MwA
-91.26672702,-43.27382945,-94.553734,78,2023-08-10T09:39:03.853269Z,46.51058494,8.476180191,-1.390826266,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.37E-05,8,-4.372014906,MwA
-91.31733027,-47.70616507,-84.194733,83,2023-08-10T09:40:53.801457Z,46.51054508,8.47617877,-1.401185267,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.67E-05,21,-3.489224282,MwA
-93.52784984,-47.80201372,-88.021069,84,2023-08-10T09:41:07.141103Z,46.51054448,8.476149954,-1.397358931,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,7.12E-05,11,-4.45822155,MwA
-105.4613815,-60.1357152,-86.448666,85,2023-08-10T09:41:14.211050Z,46.51043496,8.475992359,-1.398931334,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.96E-05,13,-4.256720024,MwA
-95.70897107,-51.63982455,-82.820746,86,2023-08-10T09:41:16.688443Z,46.51051022,8.476120878,-1.402559254,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,5.88E-05,14,-4.196949885,MwA
-91.58377797,-42.35303886,-94.830033,88,2023-08-10T09:41:22.859539Z,46.51059326,8.476176219,-1.390549967,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000111724,15,-4.288498658,MwA
-84.62366871,-43.5219125,-86.61248,89,2023-08-10T09:41:27.694598Z,46.51058192,8.476266696,-1.39876752,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.50E-05,9,-4.359387478,MwA
-89.53171888,-44.53374601,-99.223903,93,2023-08-10T09:42:06.129764Z,46.5105734,8.476202577,-1.386156097,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.74E-05,12,-4.305737313,MwA
-88.36040873,-45.82335467,-103.718399,99,2023-08-10T09:43:35.777717Z,46.51056166,8.476217614,-1.381661601,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000102651,21,-3.898960905,MwA
-87.62221013,-43.73801154,-101.140288,103,2023-08-10T09:44:20.667237Z,46.51058033,8.476227591,-1.384239712,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,9.02E-05,11,-4.464059303,MwA
-79.55819775,-32.11004293,-112.93782,105,2023-08-10T09:44:22.300329Z,46.51068396,8.476334651,-1.37244218,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000249327,8,-4.180579172,MwA
-95.72238395,-42.76022056,-93.179352,106,2023-08-10T09:44:22.472585Z,46.51059009,8.476122231,-1.392200648,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000130077,15,-4.228073027,MwA
-110.5374587,-55.20401478,-103.376448,107,2023-08-10T09:44:31.998674Z,46.51047992,8.475927074,-1.382003552,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000105726,11,-4.211339154,MwA
-102.220708,-51.23206393,-93.511315,112,2023-08-10T09:45:09.190562Z,46.51051466,8.476036111,-1.391868685,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.65E-05,9,-4.635325587,MwA
-89.45199429,-44.42151776,-99.1785,115,2023-08-10T09:45:44.962358Z,46.5105744,8.476203635,-1.3862015,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.59E-05,10,-4.354852893,MwA
-88.23521113,-44.4410043,-99.191729,116,2023-08-10T09:46:17.051537Z,46.51057408,8.476219484,-1.386188271,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.0001023,10,-4.500074359,MwA
-109.0494836,-60.84565779,-90.733295,120,2023-08-10T09:47:34.274604Z,46.510429,8.47594549,-1.394646705,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,9.95E-05,15,-4.057296997,MwA
-88.39146823,-45.61143879,-102.907954,121,2023-08-10T09:47:39.753068Z,46.51056357,8.476217246,-1.382472046,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,7.05E-05,9,-4.569214625,MwA
-58.2683177,-25.5774983,-94.20866,122,2023-08-10T09:47:52.512948Z,46.51074019,8.476613147,-1.39117134,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000206104,11,-3.899676929,MwA
-89.73171529,-43.40135675,-96.322608,125,2023-08-10T09:48:07.888785Z,46.51058361,8.476200167,-1.389057392,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000120304,13,-4.184884728,MwA
-96.79144543,-48.08746947,-90.571847,126,2023-08-10T09:48:12.286787Z,46.5105423,8.476107386,-1.394808153,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.94E-05,16,-4.231447168,MwA
-95.39794342,-46.66695581,-98.377554,130,2023-08-10T09:49:13.738432Z,46.51055491,8.476125784,-1.387002446,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.13E-05,8,-4.392557305,MwA
-90.56105528,-47.87292266,-84.696051,131,2023-08-10T09:49:25.947027Z,46.51054349,8.476188594,-1.400683949,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,7.16E-05,18,-4.281045285,MwA
-97.10091969,-49.9710595,-112.036111,132,2023-08-10T09:49:27.564455Z,46.51052539,8.476103026,-1.373343889,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000113197,8,-4.595835987,MwA
-88.3054116,-44.03966259,-90.835934,133,2023-08-10T09:49:33.072736Z,46.5105777,8.47621864,-1.394544066,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,5.74E-05,10,-4.410221348,MwA
-89.41134748,-45.02798648,-99.622226,135,2023-08-10T09:50:06.533527Z,46.51056894,8.47620406,-1.385757774,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000119951,13,-4.197094834,MwA
-88.78963037,-44.5450508,-99.500096,138,2023-08-10T09:50:37.565394Z,46.51057321,8.476212243,-1.385879904,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.20E-05,10,-4.460932642,MwA
-95.74120584,-46.99609312,-99.850031,139,2023-08-10T09:50:47.487404Z,46.51055199,8.476121255,-1.385529969,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.38E-05,10,-4.346842772,MwA
-87.32379916,-37.74845705,-98.518302,141,2023-08-10T09:51:04.435198Z,46.51063417,8.476232511,-1.386861698,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000182733,8,-4.372499688,MwA
-89.46323124,-44.98753491,-99.751175,142,2023-08-10T09:51:06.464607Z,46.51056931,8.476203391,-1.385628825,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000114843,8,-4.378959347,MwA
-89.91781005,-45.40378128,-99.768112,143,2023-08-10T09:51:11.608384Z,46.51056562,8.476197397,-1.385611888,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000109551,10,-4.328499896,MwA
