Time,ORP,Experiment
09:35:45,-129.9,Baseline
09:35:47,-129.8,Baseline
09:35:49,-129.9,Baseline
09:35:51,-130,Baseline
09:35:53,-129.9,Baseline
09:35:55,-129.8,Baseline
09:35:57,-129.8,Baseline
09:35:59,-129.8,Baseline
09:36:01,-129.8,Baseline
09:36:03,-129.9,Baseline
09:36:05,-129.9,Baseline
09:36:07,-129.9,Baseline
09:36:09,-129.9,Baseline
09:36:11,-129.9,Baseline
09:36:13,-129.9,Baseline
09:36:15,-129.8,Baseline
09:36:17,-129.9,Baseline
09:36:19,-129.9,Baseline
09:36:21,-129.9,Baseline
09:36:23,-129.7,Baseline
09:36:25,-129.8,Baseline
09:36:27,-129.9,Baseline
09:36:29,-129.9,Baseline
09:36:31,-129.9,Baseline
09:36:33,-129.9,Baseline
09:36:35,-129.9,Baseline
09:36:37,-129.9,Baseline
09:36:39,-129.9,Baseline
09:36:41,-129.9,Baseline
09:36:43,-129.9,Baseline
09:36:45,-130,Baseline
09:36:47,-129.9,Baseline
09:36:49,-129.9,Baseline
09:36:51,-129.9,Baseline
09:36:53,-129.9,Baseline
09:36:55,-129.9,Baseline
09:36:57,-129.9,Baseline
09:36:59,-129.9,Baseline
09:37:01,-129.8,Baseline
09:37:03,-129.9,Baseline
09:37:05,-129.9,Baseline
09:37:07,-129.8,Baseline
09:37:09,-129.8,Baseline
09:37:11,-129.8,Baseline
09:37:13,-129.8,Baseline
09:37:15,-129.8,Baseline
09:37:17,-129.9,Baseline
09:37:19,-129.9,Baseline
09:37:21,-129.9,Baseline
09:37:23,-129.9,Baseline
09:37:25,-129.9,Baseline
09:37:27,-129.8,Baseline
09:37:29,-129.8,Baseline
09:37:31,-129.8,Baseline
09:37:33,-129.8,Baseline
09:37:35,-129.8,Baseline
09:37:37,-129.8,Baseline
09:37:39,-129.8,Baseline
09:37:41,-129.8,Baseline
09:37:43,-129.7,Baseline
09:37:45,-129.7,Baseline
09:37:47,-129.7,Baseline
09:37:49,-129.7,Baseline
09:37:51,-129.7,Baseline
09:37:53,-129.7,Baseline
09:37:55,-129.7,Baseline
09:37:57,-129.7,Baseline
09:37:59,-129.7,Baseline
09:38:01,-129.7,Baseline
09:38:03,-129.7,Baseline
09:38:05,-129.6,Baseline
09:38:07,-129.7,Baseline
09:38:09,-129.7,Baseline
09:38:11,-129.7,Baseline
09:38:13,-129.7,Baseline
09:38:15,-129.6,Baseline
09:38:17,-129.7,Baseline
09:38:19,-129.7,Baseline
09:38:21,-129.7,Baseline
09:38:23,-129.7,Baseline
09:38:25,-129.7,Baseline
09:38:27,-129.7,Baseline
09:38:29,-129.7,Baseline
09:38:31,-129.7,Baseline
09:38:33,-129.7,Baseline
09:38:35,-129.7,Baseline
09:38:37,-129.7,Baseline
09:38:39,-129.7,Baseline
09:38:41,-129.7,Baseline
09:38:43,-129.7,Baseline
09:38:45,-129.7,Baseline
09:38:47,-129.7,Baseline
09:38:49,-129.7,Baseline
09:38:51,-129.8,Baseline
09:38:53,-129.7,Baseline
09:38:55,-129.6,Baseline
09:38:57,-129.6,Baseline
09:38:59,-129.7,Baseline
09:39:01,-129.7,Baseline
09:39:03,-129.7,Baseline
09:39:05,-129.7,Baseline
