Time,EC,Experiment
00:00:00,271.2,Low Seismicity
00:00:02,271.2,Low Seismicity
00:00:04,271.2,Low Seismicity
00:00:06,271.3,Low Seismicity
00:00:08,271.3,Low Seismicity
00:00:10,271.3,Low Seismicity
00:00:12,271.3,Low Seismicity
00:00:14,271.3,Low Seismicity
00:00:16,271.3,Low Seismicity
00:00:18,271.3,Low Seismicity
00:00:20,271.4,Low Seismicity
00:00:22,271.4,Low Seismicity
00:00:24,271.4,Low Seismicity
00:00:26,271.4,Low Seismicity
00:00:28,271.4,Low Seismicity
00:00:30,271.4,Low Seismicity
00:00:32,271.4,Low Seismicity
00:00:34,271.4,Low Seismicity
00:00:36,271.5,Low Seismicity
00:00:38,271.5,Low Seismicity
00:00:40,271.5,Low Seismicity
00:00:42,271.5,Low Seismicity
00:00:44,271.5,Low Seismicity
00:00:46,271.6,Low Seismicity
00:00:48,271.5,Low Seismicity
00:00:50,271.6,Low Seismicity
00:00:52,271.6,Low Seismicity
00:00:54,271.6,Low Seismicity
00:00:56,271.6,Low Seismicity
00:00:58,271.6,Low Seismicity
00:01:00,271.7,Low Seismicity
00:01:02,271.7,Low Seismicity
00:01:04,271.7,Low Seismicity
00:01:06,271.7,Low Seismicity
00:01:08,271.7,Low Seismicity
00:01:10,271.7,Low Seismicity
00:01:12,271.8,Low Seismicity
00:01:14,271.8,Low Seismicity
00:01:16,271.8,Low Seismicity
00:01:18,271.8,Low Seismicity
00:01:20,271.8,Low Seismicity
00:01:22,271.8,Low Seismicity
00:01:24,271.9,Low Seismicity
00:01:26,271.8,Low Seismicity
00:01:28,271.9,Low Seismicity
00:01:30,271.9,Low Seismicity
00:01:32,271.9,Low Seismicity
00:01:34,271.9,Low Seismicity
00:01:36,271.9,Low Seismicity
00:01:38,272,Low Seismicity
00:01:40,272,Low Seismicity
00:01:42,272,Low Seismicity
00:01:44,272,Low Seismicity
00:01:46,272,Low Seismicity
00:01:48,272.1,Low Seismicity
00:01:50,272.1,Low Seismicity
00:01:52,272.1,Low Seismicity
00:01:54,272.1,Low Seismicity
00:01:56,272.1,Low Seismicity
00:01:58,272.1,Low Seismicity
00:02:00,272.2,Low Seismicity
00:02:02,272.2,Low Seismicity
00:02:04,272.2,Low Seismicity
00:02:06,272.2,Low Seismicity
00:02:08,272.2,Low Seismicity
00:02:10,272.2,Low Seismicity
00:02:12,272.3,Low Seismicity
00:02:14,272.3,Low Seismicity
00:02:16,272.3,Low Seismicity
00:02:18,272.3,Low Seismicity
00:02:20,272.3,Low Seismicity
00:02:22,272.4,Low Seismicity
00:02:24,272.4,Low Seismicity
00:02:26,272.4,Low Seismicity
00:02:28,272.4,Low Seismicity
00:02:30,272.4,Low Seismicity
00:02:32,272.4,Low Seismicity
00:02:34,272.5,Low Seismicity
00:02:36,272.4,Low Seismicity
00:02:38,272.5,Low Seismicity
00:02:40,272.5,Low Seismicity
00:02:42,272.5,Low Seismicity
00:02:44,272.5,Low Seismicity
00:02:46,272.6,Low Seismicity
00:02:48,272.5,Low Seismicity
00:02:50,272.6,Low Seismicity
00:02:52,272.6,Low Seismicity
00:02:54,272.6,Low Seismicity
00:02:56,272.6,Low Seismicity
00:02:58,272.6,Low Seismicity
00:03:00,272.6,Low Seismicity
00:03:02,272.7,Low Seismicity
00:03:04,272.6,Low Seismicity
00:03:06,272.7,Low Seismicity
00:03:08,272.7,Low Seismicity
00:03:10,272.7,Low Seismicity
00:03:12,272.7,Low Seismicity
00:03:14,272.7,Low Seismicity
00:03:16,272.7,Low Seismicity
00:03:18,272.7,Low Seismicity
00:03:20,272.7,Low Seismicity
00:03:22,272.7,Low Seismicity
00:03:24,272.7,Low Seismicity
00:03:26,272.8,Low Seismicity
00:03:28,272.8,Low Seismicity
00:03:30,272.8,Low Seismicity
00:03:32,272.8,Low Seismicity
00:03:34,272.8,Low Seismicity
00:03:36,272.8,Low Seismicity
00:03:38,272.8,Low Seismicity
00:03:40,272.8,Low Seismicity
00:03:42,272.8,Low Seismicity
00:03:44,272.9,Low Seismicity
00:03:46,272.8,Low Seismicity
00:03:48,272.8,Low Seismicity
00:03:50,272.9,Low Seismicity
00:03:52,272.9,Low Seismicity
00:03:54,272.9,Low Seismicity
00:03:56,272.9,Low Seismicity
00:03:58,272.9,Low Seismicity
00:04:00,272.9,Low Seismicity
00:04:02,272.9,Low Seismicity
00:04:04,272.9,Low Seismicity
00:04:06,272.9,Low Seismicity
00:04:08,273,Low Seismicity
00:04:10,272.9,Low Seismicity
00:04:12,273,Low Seismicity
00:04:14,273,Low Seismicity
00:04:16,273,Low Seismicity
00:04:18,273,Low Seismicity
00:04:20,273,Low Seismicity
00:04:22,273,Low Seismicity
00:04:24,273,Low Seismicity
00:04:26,273,Low Seismicity
00:04:28,273,Low Seismicity
00:04:30,273,Low Seismicity
00:04:32,273,Low Seismicity
00:04:34,273,Low Seismicity
00:04:36,273.1,Low Seismicity
00:04:38,273.1,Low Seismicity
00:04:40,273.1,Low Seismicity
00:04:42,273.1,Low Seismicity
00:04:44,273.1,Low Seismicity
00:04:46,273.1,Low Seismicity
00:04:48,273.1,Low Seismicity
00:04:50,273.1,Low Seismicity
00:04:52,273.1,Low Seismicity
00:04:54,273.2,Low Seismicity
00:04:56,273.2,Low Seismicity
00:04:58,273.2,Low Seismicity
00:05:00,273.2,Low Seismicity
00:05:02,273.2,Low Seismicity
00:05:04,273.2,Low Seismicity
00:05:06,273.2,Low Seismicity
00:05:08,273.2,Low Seismicity
00:05:10,273.2,Low Seismicity
00:05:12,273.2,Low Seismicity
00:05:14,273.2,Low Seismicity
00:05:16,273.3,Low Seismicity
00:05:18,273.3,Low Seismicity
00:05:20,273.3,Low Seismicity
00:05:22,273.2,Low Seismicity
00:05:24,273.3,Low Seismicity
00:05:26,273.3,Low Seismicity
00:05:28,273.3,Low Seismicity
00:05:30,273.3,Low Seismicity
00:05:32,273.3,Low Seismicity
00:05:34,273.3,Low Seismicity
00:05:36,273.3,Low Seismicity
00:05:38,273.3,Low Seismicity
00:05:40,273.4,Low Seismicity
00:05:42,273.4,Low Seismicity
00:05:44,273.4,Low Seismicity
00:05:46,273.4,Low Seismicity
00:05:48,273.4,Low Seismicity
00:05:50,273.4,Low Seismicity
00:05:52,273.4,Low Seismicity
00:05:54,273.4,Low Seismicity
00:05:56,273.5,Low Seismicity
00:05:58,273.5,Low Seismicity
00:06:00,273.5,Low Seismicity
00:06:02,273.5,Low Seismicity
00:06:04,273.5,Low Seismicity
00:06:06,273.5,Low Seismicity
00:06:08,273.6,Low Seismicity
00:06:10,273.6,Low Seismicity
00:06:12,273.6,Low Seismicity
00:06:14,273.6,Low Seismicity
00:06:16,273.6,Low Seismicity
00:06:18,273.6,Low Seismicity
00:06:20,273.6,Low Seismicity
00:06:22,273.6,Low Seismicity
00:06:24,273.6,Low Seismicity
