Time,ORP,Experiment
13:11:17,233,Low Seismicity
13:11:19,230,Low Seismicity
13:11:21,230,Low Seismicity
13:11:23,226,Low Seismicity
13:11:25,240,Low Seismicity
13:11:27,250,Low Seismicity
13:11:29,239,Low Seismicity
13:11:31,248,Low Seismicity
13:11:33,242,Low Seismicity
13:11:35,235,Low Seismicity
13:11:37,228,Low Seismicity
13:11:39,231,Low Seismicity
13:11:41,224,Low Seismicity
13:11:43,230,Low Seismicity
13:11:45,226,Low Seismicity
13:11:47,230,Low Seismicity
13:11:49,224,Low Seismicity
13:11:51,223,Low Seismicity
13:11:53,217,Low Seismicity
13:11:55,216,Low Seismicity
13:11:57,216,Low Seismicity
13:11:59,222,Low Seismicity
13:12:01,245,Low Seismicity
13:12:03,247,Low Seismicity
13:12:05,242,Low Seismicity
13:12:07,233,Low Seismicity
13:12:09,236,Low Seismicity
13:12:11,251,Low Seismicity
13:12:13,241,Low Seismicity
13:12:15,231,Low Seismicity
13:12:17,235,Low Seismicity
13:12:19,234,Low Seismicity
13:12:21,223,Low Seismicity
13:12:23,236,Low Seismicity
13:12:25,244,Low Seismicity
13:12:27,235,Low Seismicity
13:12:29,245,Low Seismicity
13:12:31,252,Low Seismicity
13:12:33,255,Low Seismicity
13:12:35,257,Low Seismicity
13:12:37,244,Low Seismicity
13:12:39,246,Low Seismicity
13:12:41,238,Low Seismicity
13:12:43,260,Low Seismicity
13:12:45,269,Low Seismicity
13:12:47,261,Low Seismicity
13:12:49,260,Low Seismicity
13:12:51,247,Low Seismicity
13:12:53,246,Low Seismicity
13:12:55,253,Low Seismicity
13:12:57,259,Low Seismicity
13:12:59,249,Low Seismicity
13:13:01,255,Low Seismicity
13:13:03,256,Low Seismicity
13:13:05,259,Low Seismicity
13:13:07,263,Low Seismicity
13:13:09,253,Low Seismicity
13:13:11,242,Low Seismicity
13:13:13,226,Low Seismicity
13:13:15,221,Low Seismicity
13:13:17,226,Low Seismicity
13:13:19,241,Low Seismicity
13:13:21,240,Low Seismicity
13:13:23,231,Low Seismicity
13:13:25,227,Low Seismicity
13:13:27,221,Low Seismicity
13:13:29,214,Low Seismicity
13:13:31,237,Low Seismicity
13:13:33,239,Low Seismicity
13:13:35,229,Low Seismicity
13:13:37,228,Low Seismicity
13:13:39,244,Low Seismicity
13:13:41,240,Low Seismicity
13:13:43,254,Low Seismicity
13:13:45,246,Low Seismicity
13:13:47,248,Low Seismicity
13:13:49,243,Low Seismicity
13:13:51,241,Low Seismicity
13:13:53,224,Low Seismicity
13:13:55,228,Low Seismicity
13:13:57,234,Low Seismicity
13:13:59,239,Low Seismicity
13:14:01,230,Low Seismicity
13:14:03,228,Low Seismicity
13:14:05,229,Low Seismicity
13:14:07,231,Low Seismicity
13:14:09,226,Low Seismicity
13:14:11,238,Low Seismicity
13:14:13,232,Low Seismicity
13:14:15,232,Low Seismicity
13:14:17,234,Low Seismicity
13:14:19,235,Low Seismicity
13:14:21,230,Low Seismicity
13:14:23,233,Low Seismicity
13:14:25,228,Low Seismicity
13:14:27,226,Low Seismicity
13:14:29,224,Low Seismicity
13:14:31,232,Low Seismicity
13:14:33,215,Low Seismicity
13:14:35,221,Low Seismicity
13:14:37,221,Low Seismicity
13:14:39,220,Low Seismicity
13:14:41,224,Low Seismicity
13:14:43,209,Low Seismicity
13:14:45,216,Low Seismicity
13:14:47,224,Low Seismicity
13:14:49,223,Low Seismicity
13:14:51,232,Low Seismicity
13:14:53,244,Low Seismicity
13:14:55,242,Low Seismicity
13:14:57,242,Low Seismicity
13:14:59,241,Low Seismicity
13:15:01,234,Low Seismicity
13:15:03,239,Low Seismicity
13:15:05,241,Low Seismicity
13:15:07,240,Low Seismicity
13:15:09,223,Low Seismicity
13:15:11,239,Low Seismicity
13:15:13,223,Low Seismicity
13:15:15,229,Low Seismicity
13:15:17,230,Low Seismicity
13:15:19,224,Low Seismicity
13:15:21,247,Low Seismicity
13:15:23,248,Low Seismicity
13:15:25,260,Low Seismicity
13:15:27,264,Low Seismicity
13:15:29,269,Low Seismicity
13:15:31,265,Low Seismicity
13:15:33,262,Low Seismicity
13:15:35,261,Low Seismicity
13:15:37,260,Low Seismicity
13:15:39,267,Low Seismicity
13:15:41,262,Low Seismicity
13:15:43,260,Low Seismicity
13:15:45,259,Low Seismicity
13:15:47,253,Low Seismicity
13:15:49,255,Low Seismicity
13:15:51,271,Low Seismicity
13:15:53,264,Low Seismicity
13:15:55,259,Low Seismicity
13:15:57,256,Low Seismicity
13:15:59,253,Low Seismicity
13:16:01,254,Low Seismicity
13:16:03,250,Low Seismicity
13:16:05,254,Low Seismicity
13:16:07,260,Low Seismicity
13:16:09,262,Low Seismicity
13:16:11,262,Low Seismicity
13:16:13,252,Low Seismicity
13:16:15,260,Low Seismicity
13:16:17,265,Low Seismicity
13:16:19,270,Low Seismicity
13:16:21,266,Low Seismicity
13:16:23,265,Low Seismicity
13:16:25,265,Low Seismicity
13:16:27,252,Low Seismicity
13:16:29,245,Low Seismicity
13:16:31,247,Low Seismicity
13:16:33,247,Low Seismicity
13:16:35,238,Low Seismicity
13:16:37,244,Low Seismicity
13:16:39,243,Low Seismicity
13:16:41,270,Low Seismicity
13:16:43,269,Low Seismicity
13:16:45,268,Low Seismicity
13:16:47,273,Low Seismicity
13:16:49,256,Low Seismicity
13:16:51,251,Low Seismicity
13:16:53,253,Low Seismicity
13:16:55,248,Low Seismicity
13:16:57,250,Low Seismicity
13:16:59,260,Low Seismicity
13:17:01,259,Low Seismicity
13:17:03,248,Low Seismicity
13:17:05,249,Low Seismicity
13:17:07,262,Low Seismicity
13:17:09,264,Low Seismicity
13:17:11,265,Low Seismicity
13:17:13,263,Low Seismicity
13:17:15,266,Low Seismicity
13:17:17,254,Low Seismicity
13:17:19,252,Low Seismicity
13:17:21,243,Low Seismicity
13:17:23,242,Low Seismicity
13:17:25,262,Low Seismicity
13:17:27,263,Low Seismicity
13:17:29,262,Low Seismicity
13:17:31,273,Low Seismicity
13:17:33,257,Low Seismicity
13:17:35,255,Low Seismicity
13:17:37,251,Low Seismicity
13:17:39,257,Low Seismicity
13:17:41,258,Low Seismicity
13:17:43,255,Low Seismicity
13:17:45,238,Low Seismicity
13:17:47,239,Low Seismicity
13:17:49,243,Low Seismicity
13:17:51,266,Low Seismicity
13:17:53,267,Low Seismicity
13:17:55,258,Low Seismicity
13:17:57,269,Low Seismicity
13:17:59,246,Low Seismicity
13:18:01,243,Low Seismicity
13:18:03,254,Low Seismicity
13:18:05,261,Low Seismicity
13:18:07,258,Low Seismicity
13:18:09,241,Low Seismicity
13:18:11,243,Low Seismicity
13:18:13,235,Low Seismicity
13:18:15,230,Low Seismicity
13:18:17,222,Low Seismicity
13:18:19,219,Low Seismicity
13:18:21,206,Low Seismicity
13:18:23,218,Low Seismicity
13:18:25,246,Low Seismicity
13:18:27,257,Low Seismicity
