Time,ORP,Experiment
14:06:18,110.8,High Seismicity
14:06:20,111.2,High Seismicity
14:06:22,112.5,High Seismicity
14:06:24,112.6,High Seismicity
14:06:26,112.6,High Seismicity
14:06:28,112.9,High Seismicity
14:06:30,112.4,High Seismicity
14:06:32,112.1,High Seismicity
14:06:34,111.7,High Seismicity
14:06:36,111.6,High Seismicity
14:06:38,111.1,High Seismicity
14:06:40,111.2,High Seismicity
14:06:42,112.2,High Seismicity
14:06:44,111.5,High Seismicity
14:06:46,111.8,High Seismicity
14:06:48,112,High Seismicity
14:06:50,112.5,High Seismicity
14:06:52,112.8,High Seismicity
14:06:54,114.6,High Seismicity
14:06:56,113,High Seismicity
14:06:58,113.8,High Seismicity
14:07:00,113.8,High Seismicity
14:07:02,115.1,High Seismicity
14:07:04,115.4,High Seismicity
14:07:06,114.4,High Seismicity
14:07:08,114.8,High Seismicity
14:07:10,114.4,High Seismicity
14:07:12,114.2,High Seismicity
14:07:14,113.7,High Seismicity
14:07:16,113.7,High Seismicity
14:07:18,114,High Seismicity
14:07:20,114,High Seismicity
14:07:22,114.6,High Seismicity
14:07:24,114.9,High Seismicity
14:07:26,114.3,High Seismicity
14:07:28,114,High Seismicity
14:07:30,113.3,High Seismicity
14:07:32,110.3,High Seismicity
14:07:34,109.2,High Seismicity
14:07:36,108.6,High Seismicity
14:07:38,107.7,High Seismicity
14:07:40,108.5,High Seismicity
14:07:42,109.6,High Seismicity
14:07:44,109,High Seismicity
14:07:46,108.4,High Seismicity
14:07:48,109.5,High Seismicity
14:07:50,109.7,High Seismicity
14:07:52,109,High Seismicity
14:07:54,109.3,High Seismicity
14:07:56,109,High Seismicity
14:07:58,109.4,High Seismicity
14:08:00,109.9,High Seismicity
14:08:02,109.5,High Seismicity
14:08:04,109.8,High Seismicity
14:08:06,109.5,High Seismicity
14:08:08,110.7,High Seismicity
14:08:10,110.2,High Seismicity
14:08:12,110.1,High Seismicity
14:08:14,109.7,High Seismicity
14:08:16,109.9,High Seismicity
14:08:18,108.9,High Seismicity
14:08:20,107.6,High Seismicity
14:08:22,107.8,High Seismicity
14:08:24,107.2,High Seismicity
14:08:26,107.1,High Seismicity
14:08:28,108.5,High Seismicity
14:08:30,108.8,High Seismicity
14:08:32,109.4,High Seismicity
14:08:34,110.4,High Seismicity
14:08:36,110.8,High Seismicity
14:08:38,108.8,High Seismicity
14:08:40,108.3,High Seismicity
14:08:42,108.3,High Seismicity
14:08:44,108.2,High Seismicity
14:08:46,107.9,High Seismicity
14:08:48,108,High Seismicity
14:08:50,107.4,High Seismicity
14:08:52,108.3,High Seismicity
14:08:54,110.1,High Seismicity
14:08:56,110,High Seismicity
14:08:58,109.9,High Seismicity
14:09:00,108.5,High Seismicity
14:09:02,109.7,High Seismicity
14:09:04,110.9,High Seismicity
14:09:06,110.6,High Seismicity
14:09:08,110.9,High Seismicity
14:09:10,110.6,High Seismicity
14:09:12,109.6,High Seismicity
14:09:14,108.7,High Seismicity
14:09:16,108.3,High Seismicity
14:09:18,107.9,High Seismicity
14:09:20,106.4,High Seismicity
14:09:22,105.1,High Seismicity
14:09:24,104.3,High Seismicity
14:09:26,103.9,High Seismicity
14:09:28,104.6,High Seismicity
14:09:30,104.5,High Seismicity
14:09:32,103,High Seismicity
14:09:34,103,High Seismicity
14:09:36,103.3,High Seismicity
14:09:38,103.3,High Seismicity
14:09:40,103.7,High Seismicity
14:09:42,103.5,High Seismicity
14:09:44,103.1,High Seismicity
14:09:46,104.9,High Seismicity
14:09:48,104.7,High Seismicity
14:09:50,104.4,High Seismicity
14:09:52,105.3,High Seismicity
14:09:54,106.2,High Seismicity
14:09:56,104.9,High Seismicity
14:09:58,103.2,High Seismicity
14:10:00,102.8,High Seismicity
14:10:02,103.5,High Seismicity
14:10:04,103.5,High Seismicity
14:10:06,102.7,High Seismicity
14:10:08,101.5,High Seismicity
14:10:10,101.8,High Seismicity
14:10:12,101.1,High Seismicity
14:10:14,99.9,High Seismicity
14:10:16,98.9,High Seismicity
14:10:18,98.6,High Seismicity
14:10:20,98.1,High Seismicity
14:10:22,98.9,High Seismicity
14:10:24,99.2,High Seismicity
14:10:26,99.1,High Seismicity
14:10:28,100.1,High Seismicity
14:10:30,100.7,High Seismicity
14:10:32,100,High Seismicity
14:10:34,100.6,High Seismicity
14:10:36,99.3,High Seismicity
14:10:38,99.6,High Seismicity
14:10:40,99.9,High Seismicity
14:10:42,99,High Seismicity
14:10:44,98.7,High Seismicity
14:10:46,97,High Seismicity
14:10:48,96,High Seismicity
14:10:50,96.3,High Seismicity
14:10:52,95.6,High Seismicity
14:10:54,95.7,High Seismicity
14:10:56,95,High Seismicity
14:10:58,93.9,High Seismicity
14:11:00,94.3,High Seismicity
14:11:02,94.4,High Seismicity
14:11:04,94.9,High Seismicity
14:11:06,94.8,High Seismicity
14:11:08,94,High Seismicity
14:11:10,93.9,High Seismicity
14:11:12,93,High Seismicity
14:11:14,93.7,High Seismicity
14:11:16,95.5,High Seismicity
14:11:18,95.6,High Seismicity
14:11:20,95.8,High Seismicity
14:11:22,94.3,High Seismicity
14:11:24,95.1,High Seismicity
14:11:26,95.7,High Seismicity
14:11:28,94.5,High Seismicity
14:11:30,93.2,High Seismicity
14:11:32,94.9,High Seismicity
14:11:34,95,High Seismicity
14:11:36,95,High Seismicity
14:11:38,94.5,High Seismicity
14:11:40,94.5,High Seismicity
14:11:42,94.6,High Seismicity
14:11:44,94,High Seismicity
14:11:46,93.2,High Seismicity
14:11:48,93.5,High Seismicity
14:11:50,92.3,High Seismicity
14:11:52,91,High Seismicity
14:11:54,89.8,High Seismicity
14:11:56,90.3,High Seismicity
14:11:58,90,High Seismicity
14:12:00,89.2,High Seismicity
14:12:02,90,High Seismicity
14:12:04,90,High Seismicity
14:12:06,90.1,High Seismicity
14:12:08,90.3,High Seismicity
14:12:10,90.8,High Seismicity
14:12:12,89.9,High Seismicity
14:12:14,90,High Seismicity
14:12:16,90.2,High Seismicity
14:12:18,89.6,High Seismicity
14:12:20,89.3,High Seismicity
14:12:22,89.4,High Seismicity
14:12:24,90.7,High Seismicity
14:12:26,91.8,High Seismicity
14:12:28,93.4,High Seismicity
14:12:30,93.1,High Seismicity
14:12:32,93.4,High Seismicity
14:12:34,93.1,High Seismicity
14:12:36,93.9,High Seismicity
14:12:38,93.9,High Seismicity
14:12:40,93.5,High Seismicity
14:12:42,94,High Seismicity
14:12:44,94.9,High Seismicity
14:12:46,94.1,High Seismicity
14:12:48,94.2,High Seismicity
14:12:50,94.2,High Seismicity
