Time,EC,Experiment
14:06:16,71.6,High Seismicity
14:06:18,71.6,High Seismicity
14:06:20,71.6,High Seismicity
14:06:22,71.6,High Seismicity
14:06:24,71.6,High Seismicity
14:06:26,71.6,High Seismicity
14:06:28,71.6,High Seismicity
14:06:30,71.6,High Seismicity
14:06:32,71.6,High Seismicity
14:06:34,71.6,High Seismicity
14:06:36,71.6,High Seismicity
14:06:38,71.6,High Seismicity
14:06:40,71.6,High Seismicity
14:06:42,71.6,High Seismicity
14:06:44,71.6,High Seismicity
14:06:46,71.6,High Seismicity
14:06:48,71.6,High Seismicity
14:06:50,71.6,High Seismicity
14:06:52,71.5,High Seismicity
14:06:54,71.5,High Seismicity
14:06:56,71.6,High Seismicity
14:06:58,71.6,High Seismicity
14:07:00,71.5,High Seismicity
14:07:02,71.6,High Seismicity
14:07:04,71.6,High Seismicity
14:07:06,71.6,High Seismicity
14:07:08,71.6,High Seismicity
14:07:10,71.5,High Seismicity
14:07:12,71.6,High Seismicity
14:07:14,71.6,High Seismicity
14:07:16,71.5,High Seismicity
14:07:18,71.5,High Seismicity
14:07:20,71.5,High Seismicity
14:07:22,71.5,High Seismicity
14:07:24,71.5,High Seismicity
14:07:26,71.5,High Seismicity
14:07:28,71.5,High Seismicity
14:07:30,71.5,High Seismicity
14:07:32,71.5,High Seismicity
14:07:34,71.5,High Seismicity
14:07:36,71.5,High Seismicity
14:07:38,71.5,High Seismicity
14:07:40,71.5,High Seismicity
14:07:42,71.5,High Seismicity
14:07:44,71.5,High Seismicity
14:07:46,71.5,High Seismicity
14:07:48,71.5,High Seismicity
14:07:50,71.5,High Seismicity
14:07:52,71.5,High Seismicity
14:07:54,71.5,High Seismicity
14:07:56,71.5,High Seismicity
14:07:58,71.5,High Seismicity
14:08:00,71.5,High Seismicity
14:08:02,71.5,High Seismicity
14:08:04,71.5,High Seismicity
14:08:06,71.5,High Seismicity
14:08:08,71.5,High Seismicity
14:08:10,71.5,High Seismicity
14:08:12,71.5,High Seismicity
14:08:14,71.4,High Seismicity
14:08:16,71.5,High Seismicity
14:08:18,71.5,High Seismicity
14:08:20,71.5,High Seismicity
14:08:22,71.5,High Seismicity
14:08:24,71.5,High Seismicity
14:08:26,71.5,High Seismicity
14:08:28,71.4,High Seismicity
14:08:30,71.5,High Seismicity
14:08:32,71.5,High Seismicity
14:08:34,71.5,High Seismicity
14:08:36,71.5,High Seismicity
14:08:38,71.5,High Seismicity
14:08:40,71.5,High Seismicity
14:08:42,71.5,High Seismicity
14:08:44,71.5,High Seismicity
14:08:46,71.5,High Seismicity
14:08:48,71.5,High Seismicity
14:08:50,71.5,High Seismicity
14:08:52,71.5,High Seismicity
14:08:54,71.5,High Seismicity
14:08:56,71.5,High Seismicity
14:08:58,71.5,High Seismicity
14:09:00,71.4,High Seismicity
14:09:02,71.5,High Seismicity
14:09:04,71.5,High Seismicity
14:09:06,71.5,High Seismicity
14:09:08,71.5,High Seismicity
14:09:10,71.5,High Seismicity
14:09:12,71.5,High Seismicity
14:09:14,71.4,High Seismicity
14:09:16,71.4,High Seismicity
14:09:18,71.4,High Seismicity
14:09:20,71.4,High Seismicity
14:09:22,71.4,High Seismicity
14:09:24,71.4,High Seismicity
14:09:26,71.4,High Seismicity
14:09:28,71.4,High Seismicity
14:09:30,71.3,High Seismicity
14:09:32,71.4,High Seismicity
14:09:34,71.4,High Seismicity
14:09:36,71.1,High Seismicity
14:09:38,71.4,High Seismicity
14:09:40,71.4,High Seismicity
14:09:42,71.4,High Seismicity
14:09:44,71.3,High Seismicity
14:09:46,71.3,High Seismicity
14:09:48,71.3,High Seismicity
14:09:50,71.1,High Seismicity
14:09:52,71.4,High Seismicity
14:09:54,71.3,High Seismicity
14:09:56,71.3,High Seismicity
14:09:58,71.3,High Seismicity
14:10:00,71.3,High Seismicity
14:10:02,71.3,High Seismicity
14:10:04,71.4,High Seismicity
14:10:06,71.1,High Seismicity
14:10:08,71.4,High Seismicity
14:10:10,71.1,High Seismicity
14:10:12,71.4,High Seismicity
14:10:14,71.3,High Seismicity
14:10:16,71.3,High Seismicity
14:10:18,71.3,High Seismicity
14:10:20,71.3,High Seismicity
14:10:22,71.3,High Seismicity
14:10:24,71.1,High Seismicity
14:10:26,71.3,High Seismicity
14:10:28,71.3,High Seismicity
14:10:30,71.3,High Seismicity
14:10:32,71.3,High Seismicity
14:10:34,71.3,High Seismicity
14:10:36,71.1,High Seismicity
14:10:38,71.3,High Seismicity
14:10:40,71.3,High Seismicity
14:10:42,71.2,High Seismicity
14:10:44,71.3,High Seismicity
14:10:46,71.3,High Seismicity
14:10:48,71.3,High Seismicity
14:10:50,71.3,High Seismicity
14:10:52,71,High Seismicity
14:10:54,71.2,High Seismicity
14:10:56,71.3,High Seismicity
14:10:58,71.2,High Seismicity
14:11:00,71.2,High Seismicity
14:11:02,71.2,High Seismicity
14:11:04,71.2,High Seismicity
14:11:06,71.3,High Seismicity
14:11:08,71.2,High Seismicity
14:11:10,71.2,High Seismicity
14:11:12,71.2,High Seismicity
14:11:14,71.2,High Seismicity
14:11:16,71.2,High Seismicity
14:11:18,71.2,High Seismicity
14:11:20,71.2,High Seismicity
14:11:22,71.2,High Seismicity
14:11:24,71.2,High Seismicity
14:11:26,71.2,High Seismicity
14:11:28,71.2,High Seismicity
14:11:30,71.2,High Seismicity
14:11:32,71,High Seismicity
14:11:34,71.2,High Seismicity
14:11:36,71.2,High Seismicity
14:11:38,71.2,High Seismicity
14:11:40,71.2,High Seismicity
14:11:42,71.2,High Seismicity
14:11:44,71.2,High Seismicity
14:11:46,71.2,High Seismicity
14:11:48,71.2,High Seismicity
14:11:50,71.1,High Seismicity
14:11:52,71.2,High Seismicity
14:11:54,71.2,High Seismicity
14:11:56,71.2,High Seismicity
14:11:58,71.1,High Seismicity
14:12:00,71.1,High Seismicity
14:12:02,71.2,High Seismicity
14:12:04,71.1,High Seismicity
14:12:06,69,High Seismicity
14:12:08,71.1,High Seismicity
14:12:10,71.1,High Seismicity
14:12:12,71.1,High Seismicity
14:12:14,71.1,High Seismicity
14:12:16,71.1,High Seismicity
14:12:18,71.1,High Seismicity
14:12:20,71.2,High Seismicity
14:12:22,71.1,High Seismicity
14:12:24,71.1,High Seismicity
14:12:26,71,High Seismicity
14:12:28,71.1,High Seismicity
14:12:30,69.3,High Seismicity
14:12:32,71.1,High Seismicity
14:12:34,71.1,High Seismicity
14:12:36,71.1,High Seismicity
14:12:38,70.9,High Seismicity
14:12:40,71.1,High Seismicity
14:12:42,71.1,High Seismicity
14:12:44,71.1,High Seismicity
14:12:46,71.1,High Seismicity
14:12:48,71.1,High Seismicity
14:12:50,71.1,High Seismicity
14:12:52,71.1,High Seismicity
14:12:54,71.1,High Seismicity
14:12:56,71.1,High Seismicity
14:12:58,71.1,High Seismicity
14:13:00,71.1,High Seismicity
14:13:02,71.1,High Seismicity
14:13:04,71.1,High Seismicity
14:13:06,71.1,High Seismicity
14:13:08,71.1,High Seismicity
14:13:10,71.1,High Seismicity
14:13:12,71.1,High Seismicity
14:13:14,71.1,High Seismicity
14:13:16,71.1,High Seismicity
14:13:18,71.1,High Seismicity
14:13:20,71.1,High Seismicity
14:13:22,71.1,High Seismicity
14:13:24,71.1,High Seismicity
14:13:26,71.1,High Seismicity
14:13:28,71,High Seismicity
14:13:30,71.1,High Seismicity
14:13:32,71.1,High Seismicity
14:13:34,66.7,High Seismicity
14:13:36,71.1,High Seismicity
14:13:38,71,High Seismicity
14:13:40,71.1,High Seismicity
14:13:42,71.1,High Seismicity
14:13:44,71,High Seismicity
14:13:46,71,High Seismicity
14:13:48,71,High Seismicity
