x,y,z,id,isotime,latitude,longitude,depth,event_type,evaluation_mode,method_id,author,rms,num_phase,magnitude,mag_type
-100.1021108,-53.2364626,-87.713065,44,2023-08-03T10:06:10.396376Z,46.51049638,8.476063368,-1.397666935,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.00013777,19,-4.056665205,MwA
-87.31250501,-43.59942765,-99.63258,46,2023-08-03T10:06:58.920448Z,46.51058154,8.47623165,-1.38574742,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000145484,15,-4.341854214,MwA
-86.25192345,-44.915357,-86.016583,47,2023-08-03T10:06:59.485931Z,46.51056958,8.476245243,-1.399363417,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.71E-05,11,-4.332727264,MwA
-100.7943512,-47.88004533,-99.534461,49,2023-08-03T10:07:48.260569Z,46.51054464,8.47605527,-1.385845539,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000171779,14,-4.275462774,MwA
-93.8196285,-49.11445227,-85.747735,50,2023-08-03T10:07:48.964320Z,46.51053271,8.476145927,-1.399632265,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000119972,17,-4.200099433,MwA
-95.26494807,-50.14857356,-86.514493,51,2023-08-03T10:09:58.299472Z,46.51052358,8.476126919,-1.398865507,induced or triggered event,manual,smi:org.gfz-potsdam.de/geofon/StdLoc_OctTree+LeastSquares,LinusVilliger,0.000388286,37,-3.113488632,MwA
-93.39260278,-46.06234451,-97.771496,54,2023-08-03T10:10:11.872187Z,46.51056011,8.476152014,-1.387608504,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.25E-05,11,-4.505032164,MwA
-91.94597778,-46.36783159,-98.532191,55,2023-08-03T10:10:24.367104Z,46.51055719,8.476170808,-1.386847809,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000146974,16,-4.113187756,MwA
-104.8248748,-51.47754034,-101.876822,56,2023-08-03T10:10:31.377462Z,46.51051276,8.47600214,-1.383503178,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000110233,12,-4.373401545,MwA
-100.1346627,-47.8913965,-96.749835,59,2023-08-03T10:12:21.340545Z,46.51054446,8.476063863,-1.388630165,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.31E-05,14,-4.128505302,MwA
