Time,EC,Experiment
13:11:10,83.5,Low Seismicity
13:11:12,83.7,Low Seismicity
13:11:14,83.9,Low Seismicity
13:11:16,83.7,Low Seismicity
13:11:18,83.7,Low Seismicity
13:11:20,83.8,Low Seismicity
13:11:22,83.8,Low Seismicity
13:11:24,83.8,Low Seismicity
13:11:26,83.8,Low Seismicity
13:11:28,83.8,Low Seismicity
13:11:30,83.7,Low Seismicity
13:11:32,83.7,Low Seismicity
13:11:34,83.6,Low Seismicity
13:11:36,83.5,Low Seismicity
13:11:38,83.4,Low Seismicity
13:11:40,83.3,Low Seismicity
13:11:42,83.3,Low Seismicity
13:11:44,83.3,Low Seismicity
13:11:46,83.4,Low Seismicity
13:11:48,83.4,Low Seismicity
13:11:50,83.3,Low Seismicity
13:11:52,83.2,Low Seismicity
13:11:54,83.2,Low Seismicity
13:11:56,83.3,Low Seismicity
13:11:58,83.4,Low Seismicity
13:12:00,83.4,Low Seismicity
13:12:02,83.4,Low Seismicity
13:12:04,83.4,Low Seismicity
13:12:06,83.3,Low Seismicity
13:12:08,83.3,Low Seismicity
13:12:10,83.3,Low Seismicity
13:12:12,83.3,Low Seismicity
13:12:14,83.3,Low Seismicity
13:12:16,83.3,Low Seismicity
13:12:18,83.3,Low Seismicity
13:12:20,83.3,Low Seismicity
13:12:22,83.3,Low Seismicity
13:12:24,83.4,Low Seismicity
13:12:26,83.4,Low Seismicity
13:12:28,83.3,Low Seismicity
13:12:30,83.4,Low Seismicity
13:12:32,83.4,Low Seismicity
13:12:34,83.4,Low Seismicity
13:12:36,83.4,Low Seismicity
13:12:38,83.4,Low Seismicity
13:12:40,83.4,Low Seismicity
13:12:42,83.5,Low Seismicity
13:12:44,83.4,Low Seismicity
13:12:46,83.5,Low Seismicity
13:12:48,83.5,Low Seismicity
13:12:50,83.5,Low Seismicity
13:12:52,83.5,Low Seismicity
13:12:54,83.5,Low Seismicity
13:12:56,83.4,Low Seismicity
13:12:58,83.4,Low Seismicity
13:13:00,83.5,Low Seismicity
13:13:02,83.5,Low Seismicity
13:13:04,83.5,Low Seismicity
13:13:06,83.5,Low Seismicity
13:13:08,83.5,Low Seismicity
13:13:10,83.5,Low Seismicity
13:13:12,83.5,Low Seismicity
13:13:14,83.5,Low Seismicity
13:13:16,83.5,Low Seismicity
13:13:18,83.5,Low Seismicity
13:13:20,83.5,Low Seismicity
13:13:22,83.5,Low Seismicity
13:13:24,83.5,Low Seismicity
13:13:26,83.5,Low Seismicity
13:13:28,83.5,Low Seismicity
13:13:30,83.5,Low Seismicity
13:13:32,83.5,Low Seismicity
13:13:34,83.5,Low Seismicity
13:13:36,83.5,Low Seismicity
13:13:38,83.5,Low Seismicity
13:13:40,83.5,Low Seismicity
13:13:42,83.5,Low Seismicity
13:13:44,83.5,Low Seismicity
13:13:46,83.5,Low Seismicity
13:13:48,83.5,Low Seismicity
13:13:50,83.5,Low Seismicity
13:13:52,83.5,Low Seismicity
13:13:54,83.4,Low Seismicity
13:13:56,83.4,Low Seismicity
13:13:58,83.5,Low Seismicity
13:14:00,83.5,Low Seismicity
13:14:02,83.4,Low Seismicity
13:14:04,83.4,Low Seismicity
13:14:06,83.4,Low Seismicity
13:14:08,83.4,Low Seismicity
13:14:10,83.4,Low Seismicity
13:14:12,83.4,Low Seismicity
13:14:14,83.4,Low Seismicity
13:14:16,83.4,Low Seismicity
13:14:18,83.4,Low Seismicity
13:14:20,83.4,Low Seismicity
13:14:22,83.4,Low Seismicity
13:14:24,83.4,Low Seismicity
13:14:26,83.3,Low Seismicity
13:14:28,83.3,Low Seismicity
13:14:30,83.3,Low Seismicity
13:14:32,83.3,Low Seismicity
13:14:34,83.3,Low Seismicity
13:14:36,83.3,Low Seismicity
13:14:38,83.3,Low Seismicity
13:14:40,83.3,Low Seismicity
13:14:42,83.2,Low Seismicity
13:14:44,83.3,Low Seismicity
13:14:46,83.2,Low Seismicity
13:14:48,83.2,Low Seismicity
13:14:50,83.2,Low Seismicity
13:14:52,83.2,Low Seismicity
13:14:54,83.2,Low Seismicity
13:14:56,83.2,Low Seismicity
13:14:58,83.2,Low Seismicity
13:15:00,83.2,Low Seismicity
13:15:02,83.2,Low Seismicity
13:15:04,83.1,Low Seismicity
13:15:06,83.1,Low Seismicity
13:15:08,83.1,Low Seismicity
13:15:10,83.1,Low Seismicity
13:15:12,83.1,Low Seismicity
13:15:14,83.1,Low Seismicity
13:15:16,83.1,Low Seismicity
13:15:18,83.1,Low Seismicity
13:15:20,83.1,Low Seismicity
13:15:22,83.1,Low Seismicity
13:15:24,83.1,Low Seismicity
13:15:26,83.1,Low Seismicity
13:15:28,83,Low Seismicity
13:15:30,83.1,Low Seismicity
13:15:32,83,Low Seismicity
13:15:34,83,Low Seismicity
13:15:36,83,Low Seismicity
13:15:38,83,Low Seismicity
13:15:40,83,Low Seismicity
13:15:42,83,Low Seismicity
13:15:44,83,Low Seismicity
13:15:46,83,Low Seismicity
13:15:48,82.9,Low Seismicity
13:15:50,82.9,Low Seismicity
13:15:52,82.9,Low Seismicity
13:15:54,82.9,Low Seismicity
13:15:56,82.9,Low Seismicity
13:15:58,82.9,Low Seismicity
13:16:00,82.9,Low Seismicity
13:16:02,82.9,Low Seismicity
13:16:04,82.9,Low Seismicity
13:16:06,82.9,Low Seismicity
13:16:08,82.9,Low Seismicity
13:16:10,82.8,Low Seismicity
13:16:12,82.8,Low Seismicity
13:16:14,82.8,Low Seismicity
13:16:16,82.8,Low Seismicity
13:16:18,82.8,Low Seismicity
13:16:20,82.8,Low Seismicity
13:16:22,82.8,Low Seismicity
13:16:24,82.7,Low Seismicity
13:16:26,82.8,Low Seismicity
13:16:28,82.8,Low Seismicity
13:16:30,82.7,Low Seismicity
13:16:32,82.7,Low Seismicity
13:16:34,82.7,Low Seismicity
13:16:36,82.7,Low Seismicity
13:16:38,82.7,Low Seismicity
13:16:40,82.7,Low Seismicity
13:16:42,82.7,Low Seismicity
13:16:44,82.7,Low Seismicity
